WKT,nombre,descripción
"POINT (-0.5598462 39.3063326)",CT01,
"POINT (-0.5591596 39.3120107)",CT02,
"POINT (-0.5482591 39.3143018)",CT03,
"POINT (-0.5480016 39.3088563)",CT04,
"POINT (-0.5365432 39.3123096)",CT05,
"POINT (-0.5431951 39.3048715)",CT06,
"POINT (-0.5346549 39.3038753)",CT07,
"POINT (-0.5559409 39.3019824)",CT08,
"POINT (-0.5539239 39.3169911)",CT09,
"POINT (-0.5449546 39.3006541)",CT10,
"POINT (-0.5426801 39.3141026)",CT11,
"POINT (-0.5528939 39.3080594)",CT12,
"POINT (-0.5337108 39.3088895)",CT13,
